subj_idx,status,runid,condition,cue,coherence,image_index,stim,rt,response,stimulus_side
1,outside,1,4,invalid,low,68,1,0.6093124165763579,1,0
1,outside,1,1,valid,high,23,1,0.310279619598077,1,0
1,outside,1,2,invalid,high,2,0,0.329159899738443,1,1
1,outside,1,3,valid,low,69,1,0.594152482010031,1,0
1,outside,1,3,valid,low,72,1,0.464056744434856,1,1
1,outside,1,3,valid,low,64,1,0.4628752271764821,1,0
1,outside,1,3,valid,low,37,0,0.35305309092837,1,1
1,outside,1,2,invalid,high,16,0,0.519392261330722,1,0
1,outside,1,3,valid,low,61,1,0.317831722197297,1,1
1,outside,1,1,valid,high,26,1,0.44015683337784106,1,0
1,outside,1,2,invalid,high,24,1,0.308075179907974,1,1
1,outside,1,4,invalid,low,53,0,0.392464733138695,1,1
1,outside,1,3,valid,low,46,0,0.376273310237593,1,1
1,outside,1,2,invalid,high,23,1,0.37019907325157003,1,1
1,outside,1,2,invalid,high,1,0,0.388379084073676,1,0
1,outside,1,2,invalid,high,11,0,0.405241585551266,1,1
1,outside,1,4,invalid,low,67,1,0.4490785149628211,1,0
1,outside,1,2,invalid,high,27,1,0.318277591943115,1,1
1,outside,1,2,invalid,high,8,0,0.414796803024728,1,1
1,outside,1,2,invalid,high,15,0,0.402119957456307,1,1
1,outside,1,3,valid,low,65,1,0.3595231059152871,1,0
1,outside,1,1,valid,high,36,1,0.264383144354724,1,1
1,outside,1,3,valid,low,50,0,0.35938554146559903,1,1
1,outside,1,1,valid,high,7,0,0.41660144672278004,1,0
1,outside,1,4,invalid,low,37,0,0.42436746549537896,1,1
1,outside,1,2,invalid,high,18,0,0.25787181997293396,1,1
1,outside,1,2,invalid,high,9,0,0.38154533546367,1,0
1,outside,1,1,valid,high,1,0,0.726088554954913,1,0
1,outside,1,3,valid,low,40,0,0.487966104603402,1,1
1,outside,1,3,valid,low,55,1,0.654605999614432,0,1
1,outside,1,2,invalid,high,14,0,0.646131827314093,1,1
1,outside,1,1,valid,high,11,0,0.371216748664665,1,1
1,outside,1,4,invalid,low,61,1,0.508251919118266,1,0
1,outside,1,1,valid,high,29,1,0.341930644308377,1,0
1,outside,1,3,valid,low,53,0,0.38274477070626706,1,0
1,outside,1,4,invalid,low,71,1,0.431567378418549,1,1
1,outside,1,2,invalid,high,34,1,0.342494943928614,0,0
1,outside,1,3,valid,low,56,1,0.32782966966624394,1,0
1,outside,1,2,invalid,high,5,0,0.44805878452825704,1,1
1,outside,1,1,valid,high,10,0,0.32170388053054905,1,1
1,outside,1,4,invalid,low,69,1,0.608835097060364,1,1
1,outside,1,3,valid,low,54,0,0.515199310846583,1,1
1,outside,2,2,invalid,high,32,1,0.47190397631493397,1,0
1,outside,2,4,invalid,low,48,0,0.435903443900315,1,1
1,outside,2,1,valid,high,29,1,0.5478839560382771,1,0
1,outside,2,3,valid,low,51,0,0.27834020786576696,1,1
1,outside,2,1,valid,high,14,0,0.32036596279249396,1,0
1,outside,2,3,valid,low,64,1,0.25362669784772196,1,1
1,outside,2,4,invalid,low,56,1,0.500077431473983,1,0
1,outside,2,3,valid,low,71,1,0.451763013366872,1,0
1,outside,2,4,invalid,low,39,0,0.32851485224819,1,1
1,outside,2,3,valid,low,48,0,0.7787811614834941,1,0
1,outside,2,3,valid,low,56,1,0.46189498746753105,1,1
1,outside,2,4,invalid,low,68,1,0.527006017029635,1,1
1,outside,2,3,valid,low,67,1,0.5125682379930371,1,1
1,outside,2,2,invalid,high,5,0,0.43582432810580896,1,1
1,outside,2,3,valid,low,46,0,0.41243852043589896,1,1
1,outside,2,3,valid,low,38,0,0.446366612139173,1,0
1,outside,2,2,invalid,high,21,1,0.430313848373771,1,1
1,outside,2,1,valid,high,10,0,0.400102472369326,1,1
1,outside,2,2,invalid,high,12,0,0.373719972385516,1,1
1,outside,2,2,invalid,high,9,0,0.37836456458353496,1,1
1,outside,2,4,invalid,low,40,0,0.5844284916365721,1,0
1,outside,2,3,valid,low,70,1,0.404976328703924,1,1
1,outside,2,1,valid,high,12,0,0.375369947194486,1,1
1,outside,2,3,valid,low,40,0,0.470487156744639,1,1
1,outside,2,1,valid,high,15,0,0.523842937733207,1,0
1,outside,2,4,invalid,low,71,1,0.510244047345623,1,1
1,outside,2,4,invalid,low,50,0,0.39188592398204497,1,1
1,outside,2,3,valid,low,68,1,0.59059632410208,1,1
1,outside,2,3,valid,low,63,1,0.46346489112147493,1,0
1,outside,2,2,invalid,high,16,0,0.6772387543005611,1,1
1,outside,2,3,valid,low,45,0,0.40163610964191293,1,0
1,outside,2,4,invalid,low,61,1,0.671164432722435,1,1
1,outside,2,1,valid,high,6,0,0.7187023915103051,1,1
1,outside,2,3,valid,low,53,0,0.35158100225817196,1,1
1,outside,2,4,invalid,low,55,1,0.520950260299287,1,0
1,outside,2,3,valid,low,43,0,0.46860099641162395,1,0
