,subj_idx,status,runid,condition,cue,coherence,image_index,stim,response,rt,accuracy,stimulus_side,Sn_vals,med_dists,Outliers
67,1,outside,1,4,invalid,low,41,0,0,0.523430523022398,1,0,0.090001,0.10706639382442507,False
68,1,outside,1,3,valid,low,70,1,1,0.5936864252980739,1,0,0.090001,0.16189936869341193,False
69,1,outside,1,2,invalid,high,31,1,1,0.37917780279531105,1,1,0.090001,0.07110262288733704,False
70,1,outside,1,1,valid,high,18,0,0,0.502860894281184,1,0,0.090001,0.097866408752452,False
71,1,outside,1,1,valid,high,4,0,0,0.667525581395239,1,1,0.090001,0.231622137494924,False
72,1,outside,1,1,valid,high,21,1,1,0.32749530592082,1,1,0.090001,0.10919538242342197,False
73,1,outside,1,2,invalid,high,33,1,1,0.598956437799643,1,0,0.090001,0.16667125024105206,False
74,1,outside,1,3,valid,low,49,0,0,0.440674673616741,1,0,0.090001,0.07252569210868398,False
75,1,outside,1,4,invalid,low,63,1,0,0.479420213090634,0,0,0.090001,0.084777399752056,False
76,1,outside,1,2,invalid,high,22,1,1,0.5858366010052121,1,1,0.090001,0.15404954440055008,False
77,1,outside,1,4,invalid,low,70,1,1,0.545840113947634,1,1,0.090001,0.12147264845225503,False
78,1,outside,1,3,valid,low,66,1,1,0.514252083319661,1,1,0.090001,0.10294305279967303,False
79,1,outside,1,3,valid,low,62,1,1,0.45027904488779297,1,0,0.090001,0.07449077915407498,False
80,1,outside,1,4,invalid,low,46,0,0,0.398420915926181,1,1,0.090001,0.06792043389214103,False
81,1,outside,1,4,invalid,low,65,1,1,0.375788265733718,1,0,0.090001,0.07290756513793906,False
82,1,outside,1,1,valid,high,6,0,0,0.441869182781375,1,1,0.090001,0.07234149909527288,False
83,1,outside,1,4,invalid,low,51,0,0,0.5566205962295501,1,0,0.090001,0.127597298120236,False
84,1,outside,1,2,invalid,high,7,0,0,0.402566177997869,1,1,0.090001,0.06603481841375497,False
85,1,outside,1,1,valid,high,16,0,0,0.36108199804766605,1,0,0.090001,0.08274179018189909,False
86,1,outside,1,4,invalid,low,62,1,1,0.42770786368601,1,0,0.090001,0.06818475777072291,False
87,1,outside,1,1,valid,high,30,1,1,0.33634722130773304,1,0,0.090001,0.10162640676026091,False
88,1,outside,1,4,invalid,low,66,1,1,0.5788219608530201,1,0,0.090001,0.1472665941018929,False
89,1,outside,1,4,invalid,low,49,0,0,0.5382023747170019,1,1,0.090001,0.11617758012471291,False
91,1,outside,1,3,valid,low,43,0,0,0.600727303033636,1,0,0.090001,0.168442115475045,False
92,1,outside,1,3,valid,low,58,1,1,0.560155305796798,1,0,0.090001,0.13030735988286402,False
93,1,outside,1,1,valid,high,28,1,1,0.303694359266956,1,0,0.090001,0.13294630202108199,False
94,1,outside,1,1,valid,high,20,1,1,0.329645720468761,1,1,0.090001,0.10795762577981793,False
95,1,outside,1,4,invalid,low,47,0,0,0.6304969168468231,1,1,0.090001,0.19497180815596904,False
97,1,outside,1,1,valid,high,2,0,0,0.4574238081313521,1,1,0.090001,0.07969090852566313,False
98,1,outside,1,3,valid,low,71,1,1,0.4882109157406379,1,0,0.090001,0.09061104511238216,False
99,1,outside,1,2,invalid,high,3,0,0,0.46174880237777,1,0,0.090001,0.08257099958245895,False
100,1,outside,1,4,invalid,low,48,0,0,0.35076583590853305,1,1,0.090001,0.08939099746930801,False
101,1,outside,1,3,valid,low,47,0,0,0.21829992349739802,1,0,0.090001,0.21834073779063995,False
102,1,outside,1,4,invalid,low,68,1,1,0.6093124165763579,1,0,0.090001,0.17627304154120788,False
103,1,outside,1,1,valid,high,23,1,1,0.310279619598077,1,0,0.090001,0.12636104168996098,False
104,1,outside,1,2,invalid,high,2,0,0,0.329159899738443,1,1,0.090001,0.10844344651013593,False
105,1,outside,1,3,valid,low,69,1,1,0.594152482010031,1,0,0.090001,0.16236542540536902,False
106,1,outside,1,3,valid,low,72,1,1,0.464056744434856,1,1,0.090001,0.08251140897118603,False
107,1,outside,1,3,valid,low,64,1,1,0.4628752271764821,1,0,0.090001,0.08296488677115188,False
108,1,outside,1,3,valid,low,37,0,0,0.35305309092837,1,1,0.090001,0.087621582688371,False
109,1,outside,1,2,invalid,high,16,0,0,0.519392261330722,1,0,0.090001,0.10535935363805093,False
110,1,outside,1,3,valid,low,61,1,1,0.317831722197297,1,1,0.090001,0.11880893909074097,False
111,1,outside,1,1,valid,high,26,1,1,0.44015683337784106,1,0,0.090001,0.07241140461519602,False
112,1,outside,1,2,invalid,high,24,1,1,0.308075179907974,1,1,0.090001,0.12856548138006396,False
113,1,outside,1,4,invalid,low,53,0,0,0.392464733138695,1,1,0.090001,0.06928406923907499,False
114,1,outside,1,3,valid,low,46,0,0,0.376273310237593,1,1,0.090001,0.07257895097063699,False
115,1,outside,1,2,invalid,high,23,1,1,0.37019907325157003,1,1,0.090001,0.077859711276687,False
116,1,outside,1,2,invalid,high,1,0,0,0.388379084073676,1,0,0.090001,0.06953347556009198,False
117,1,outside,1,2,invalid,high,11,0,0,0.405241585551266,1,1,0.090001,0.06375451712665298,False
118,1,outside,1,4,invalid,low,67,1,1,0.4490785149628211,1,0,0.090001,0.07435200805957692,False
119,1,outside,1,2,invalid,high,27,1,1,0.318277591943115,1,1,0.090001,0.11836306934492297,False
120,1,outside,1,2,invalid,high,8,0,0,0.414796803024728,1,1,0.090001,0.06833972272215799,False
121,1,outside,1,2,invalid,high,15,0,0,0.402119957456307,1,1,0.090001,0.06632205103960598,False
122,1,outside,1,3,valid,low,65,1,1,0.3595231059152871,1,0,0.090001,0.08277745200029996,False
123,1,outside,1,1,valid,high,36,1,1,0.264383144354724,1,1,0.090001,0.17225751693331398,False
124,1,outside,1,3,valid,low,50,0,0,0.35938554146559903,1,1,0.090001,0.082915016449988,False
125,1,outside,1,1,valid,high,7,0,0,0.41660144672278004,1,0,0.090001,0.06963674655162294,False
126,1,outside,1,4,invalid,low,37,0,0,0.42436746549537896,1,1,0.090001,0.06583068224972599,False
127,1,outside,1,2,invalid,high,18,0,0,0.25787181997293396,1,1,0.090001,0.178768841315104,False
128,1,outside,1,2,invalid,high,9,0,0,0.38154533546367,1,0,0.090001,0.07021767790320205,False
130,1,outside,1,3,valid,low,40,0,0,0.487966104603402,1,1,0.090001,0.09085585624961806,False
131,1,outside,1,3,valid,low,55,1,0,0.654605999614432,0,1,0.090001,0.218702555714117,False
132,1,outside,1,2,invalid,high,14,0,0,0.646131827314093,1,1,0.090001,0.21030749920828407,False
133,1,outside,1,1,valid,high,11,0,0,0.371216748664665,1,1,0.090001,0.07684203586359206,False
134,1,outside,1,4,invalid,low,61,1,1,0.508251919118266,1,0,0.090001,0.10058317794209803,False
135,1,outside,1,1,valid,high,29,1,1,0.341930644308377,1,0,0.090001,0.09604298375961695,False
136,1,outside,1,3,valid,low,53,0,0,0.38274477070626706,1,0,0.090001,0.06901824266060497,False
137,1,outside,1,4,invalid,low,71,1,1,0.431567378418549,1,1,0.090001,0.07093497452842695,False
138,1,outside,1,2,invalid,high,34,1,0,0.342494943928614,0,0,0.090001,0.09547868413937993,False
139,1,outside,1,3,valid,low,56,1,1,0.32782966966624394,1,0,0.090001,0.10952974616884592,False
140,1,outside,1,2,invalid,high,5,0,0,0.44805878452825704,1,1,0.090001,0.07433881214274102,False
141,1,outside,1,1,valid,high,10,0,0,0.32170388053054905,1,1,0.090001,0.11493678075748892,False
142,1,outside,1,4,invalid,low,69,1,1,0.608835097060364,1,1,0.090001,0.17579572202521393,False
143,1,outside,1,3,valid,low,54,0,0,0.515199310846583,1,1,0.090001,0.10389028032659503,False
144,1,outside,2,2,invalid,high,32,1,1,0.47190397631493397,1,0,0.090001,0.08421061221451998,False
145,1,outside,2,4,invalid,low,48,0,0,0.435903443900315,1,1,0.090001,0.07363269870620504,False
146,1,outside,2,1,valid,high,29,1,1,0.5478839560382771,1,0,0.090001,0.12054209246343811,False
147,1,outside,2,3,valid,low,51,0,0,0.27834020786576696,1,1,0.090001,0.158300453422271,False
148,1,outside,2,1,valid,high,14,0,0,0.32036596279249396,1,0,0.090001,0.116274698495544,False
149,1,outside,2,3,valid,low,64,1,1,0.25362669784772196,1,1,0.090001,0.183013963440316,False
150,1,outside,2,4,invalid,low,56,1,1,0.500077431473983,1,0,0.090001,0.097511253476114,False
151,1,outside,2,3,valid,low,71,1,1,0.451763013366872,1,0,0.090001,0.07548970312927905,False
152,1,outside,2,4,invalid,low,39,0,0,0.32851485224819,1,1,0.090001,0.10908849400038895,False
154,1,outside,2,3,valid,low,56,1,1,0.46189498746753105,1,1,0.090001,0.08271718467222,False
155,1,outside,2,4,invalid,low,68,1,1,0.527006017029635,1,1,0.090001,0.11040457030685497,False
156,1,outside,2,3,valid,low,67,1,1,0.5125682379930371,1,1,0.090001,0.10125920747304912,False
157,1,outside,2,2,invalid,high,5,0,0,0.43582432810580896,1,1,0.090001,0.073553582911699,False
158,1,outside,2,3,valid,low,46,0,0,0.41243852043589896,1,1,0.090001,0.06747199661549502,False
