"subj_idx","status","runid","condition","cue","coherence","image_index","stim","response","rt","accuracy","stimulus_side"
"001","outside","01",3,"valid","low",43,0,0,0.600727303033636,1,0
"001","outside","01",3,"valid","low",58,1,1,0.560155305796798,1,0
"001","outside","01",1,"valid","high",28,1,1,0.303694359266956,1,0
"001","outside","01",1,"valid","high",20,1,1,0.329645720468761,1,1
"001","outside","01",4,"invalid","low",47,0,0,0.630496916846823,1,1
"001","outside","01",3,"valid","low",60,1,0,0.771207724987107,0,0
"001","outside","01",1,"valid","high",2,0,0,0.457423808131352,1,1
"001","outside","01",3,"valid","low",71,1,1,0.488210915740638,1,0
"001","outside","01",2,"invalid","high",3,0,0,0.46174880237777,1,0
"001","outside","01",4,"invalid","low",48,0,0,0.350765835908533,1,1
"001","outside","01",3,"valid","low",47,0,0,0.218299923497398,1,0
"001","outside","01",4,"invalid","low",68,1,1,0.609312416576358,1,0
"001","outside","01",1,"valid","high",23,1,1,0.310279619598077,1,0
"001","outside","01",2,"invalid","high",2,0,0,0.329159899738443,1,1
"001","outside","01",3,"valid","low",69,1,1,0.594152482010031,1,0
"001","outside","01",3,"valid","low",72,1,1,0.464056744434856,1,1
"001","outside","01",3,"valid","low",64,1,1,0.462875227176482,1,0
"001","outside","01",3,"valid","low",37,0,0,0.35305309092837,1,1
"001","outside","01",2,"invalid","high",16,0,0,0.519392261330722,1,0
"001","outside","01",3,"valid","low",61,1,1,0.317831722197297,1,1
"001","outside","01",1,"valid","high",26,1,1,0.440156833377841,1,0
"001","outside","01",2,"invalid","high",24,1,1,0.308075179907974,1,1
"001","outside","01",4,"invalid","low",53,0,0,0.392464733138695,1,1
"001","outside","01",3,"valid","low",46,0,0,0.376273310237593,1,1
"001","outside","01",2,"invalid","high",23,1,1,0.37019907325157,1,1
"001","outside","01",2,"invalid","high",1,0,0,0.388379084073676,1,0
"001","outside","01",2,"invalid","high",11,0,0,0.405241585551266,1,1
"001","outside","01",4,"invalid","low",67,1,1,0.449078514962821,1,0
"001","outside","01",2,"invalid","high",27,1,1,0.318277591943115,1,1
"001","outside","01",2,"invalid","high",8,0,0,0.414796803024728,1,1
"001","outside","01",2,"invalid","high",15,0,0,0.402119957456307,1,1
"001","outside","01",3,"valid","low",65,1,1,0.359523105915287,1,0
"001","outside","01",1,"valid","high",36,1,1,0.264383144354724,1,1
"001","outside","01",3,"valid","low",50,0,0,0.359385541465599,1,1
"001","outside","01",1,"valid","high",7,0,0,0.41660144672278,1,0
"001","outside","01",4,"invalid","low",37,0,0,0.424367465495379,1,1
"001","outside","01",2,"invalid","high",18,0,0,0.257871819972934,1,1
"001","outside","01",2,"invalid","high",9,0,0,0.38154533546367,1,0
"001","outside","01",1,"valid","high",1,0,0,0.726088554954913,1,0
"001","outside","01",3,"valid","low",40,0,0,0.487966104603402,1,1
"001","outside","01",3,"valid","low",55,1,0,0.654605999614432,0,1
"001","outside","01",2,"invalid","high",14,0,0,0.646131827314093,1,1
"001","outside","01",1,"valid","high",11,0,0,0.371216748664665,1,1
"001","outside","01",4,"invalid","low",61,1,1,0.508251919118266,1,0
"001","outside","01",1,"valid","high",29,1,1,0.341930644308377,1,0
"001","outside","01",3,"valid","low",53,0,0,0.382744770706267,1,0
"001","outside","01",4,"invalid","low",71,1,1,0.431567378418549,1,1
"001","outside","01",2,"invalid","high",34,1,0,0.342494943928614,0,0
"001","outside","01",3,"valid","low",56,1,1,0.327829669666244,1,0
"001","outside","01",2,"invalid","high",5,0,0,0.448058784528257,1,1
"001","outside","01",1,"valid","high",10,0,0,0.321703880530549,1,1
"001","outside","01",4,"invalid","low",69,1,1,0.608835097060364,1,1
"001","outside","01",3,"valid","low",54,0,0,0.515199310846583,1,1
"001","outside","02",2,"invalid","high",32,1,1,0.471903976314934,1,0
"001","outside","02",4,"invalid","low",48,0,0,0.435903443900315,1,1
"001","outside","02",1,"valid","high",29,1,1,0.547883956038277,1,0
"001","outside","02",3,"valid","low",51,0,0,0.278340207865767,1,1
"001","outside","02",1,"valid","high",14,0,0,0.320365962792494,1,0
"001","outside","02",3,"valid","low",64,1,1,0.253626697847722,1,1
"001","outside","02",4,"invalid","low",56,1,1,0.500077431473983,1,0
"001","outside","02",3,"valid","low",71,1,1,0.451763013366872,1,0
"001","outside","02",4,"invalid","low",39,0,0,0.32851485224819,1,1
"001","outside","02",3,"valid","low",48,0,0,0.778781161483494,1,0
"001","outside","02",3,"valid","low",56,1,1,0.461894987467531,1,1
"001","outside","02",4,"invalid","low",68,1,1,0.527006017029635,1,1
"001","outside","02",3,"valid","low",67,1,1,0.512568237993037,1,1
"001","outside","02",2,"invalid","high",5,0,0,0.435824328105809,1,1
"001","outside","02",3,"valid","low",46,0,0,0.412438520435899,1,1
"001","outside","02",3,"valid","low",38,0,0,0.446366612139173,1,0
"001","outside","02",2,"invalid","high",21,1,1,0.430313848373771,1,1
"001","outside","02",1,"valid","high",10,0,0,0.400102472369326,1,1
"001","outside","02",2,"invalid","high",12,0,0,0.373719972385516,1,1
"001","outside","02",2,"invalid","high",9,0,0,0.378364564583535,1,1
"001","outside","02",4,"invalid","low",40,0,0,0.584428491636572,1,0
"001","outside","02",3,"valid","low",70,1,1,0.404976328703924,1,1
"001","outside","02",1,"valid","high",12,0,0,0.375369947194486,1,1
"001","outside","02",3,"valid","low",40,0,0,0.470487156744639,1,1
"001","outside","02",1,"valid","high",15,0,0,0.523842937733207,1,0
"001","outside","02",4,"invalid","low",71,1,1,0.510244047345623,1,1
"001","outside","02",4,"invalid","low",50,0,0,0.391885923982045,1,1
"001","outside","02",3,"valid","low",68,1,1,0.59059632410208,1,1
"001","outside","02",3,"valid","low",63,1,1,0.463464891121475,1,0
"001","outside","02",2,"invalid","high",16,0,0,0.677238754300561,1,1
"001","outside","02",3,"valid","low",45,0,0,0.401636109641913,1,0
"001","outside","02",4,"invalid","low",61,1,1,0.671164432722435,1,1
"001","outside","02",1,"valid","high",6,0,0,0.718702391510305,1,1
"001","outside","02",3,"valid","low",53,0,0,0.351581002258172,1,1
"001","outside","02",4,"invalid","low",55,1,1,0.520950260299287,1,0
"001","outside","02",3,"valid","low",43,0,0,0.468600996411624,1,0
"001","outside","02",2,"invalid","high",11,0,0,0.537220905975119,1,0
"001","outside","02",3,"valid","low",50,0,0,0.468611438202061,1,0
"001","outside","02",1,"valid","high",8,0,0,0.33050048203404,1,1
"001","outside","02",4,"invalid","low",42,0,0,0.392039465843482,1,0
"001","outside","02",3,"valid","low",42,0,0,0.429847945913934,1,0
"001","outside","02",4,"invalid","low",70,1,1,0.627360674723604,1,1
"001","outside","02",1,"valid","high",30,1,1,0.368148981508057,1,1
"001","outside","02",4,"invalid","low",49,0,0,0.399418598432021,1,1
"001","outside","02",1,"valid","high",27,1,1,0.394642813338578,1,0
"001","outside","02",4,"invalid","low",47,0,0,0.401843567176911,1,0
"001","outside","02",2,"invalid","high",2,0,0,0.393507641018005,1,1
"001","outside","02",2,"invalid","high",30,1,1,0.306889323721407,1,1
"001","outside","02",1,"valid","high",2,0,0,0.229438434602343,1,1
"001","outside","02",1,"valid","high",17,0,0,0.460086589499042,1,0
"001","outside","02",2,"invalid","high",35,1,0,0.436640661288038,0,0
"001","outside","02",3,"valid","low",57,1,1,0.345772459992077,1,1
"001","outside","02",2,"invalid","high",28,1,1,0.451449174943264,1,1
"001","outside","02",4,"invalid","low",67,1,1,0.429940827356404,1,0
"001","outside","02",1,"valid","high",1,0,0,0.410093632795906,1,0
"001","outside","02",1,"valid","high",16,0,0,0.467889832500077,1,0
"001","outside","02",4,"invalid","low",46,0,0,0.431787056604662,1,1
