,rank,dic
0,ms2,10654.421986039175
1,ms4,10654.49361478093
2,ms5,10657.042585634726
3,ms6,10657.592409915218
4,ms3,10660.795471820966
5,ms7,10662.651377278693
6,ms1,10835.683362490923
7,ms0,10973.290472387189
