V1,V2,V3,V4
-0.34406096129511743,-0.33328340431839165,-0.3202053630697575,-0.3264785779947684
-0.32916255956723783,-0.2956362881646384,-0.3543073613095228,-0.3440368210491092
-0.3546429651676866,-0.32479094406034525,-0.33946019798598404,-0.32958951595248426
-0.3047611333152289,-0.3313671630180483,-0.338015187329758,-0.3618145790658228
-0.3255963578847205,-0.3930101443986133,-0.36123936092950903,-0.32557137998020586
-0.31307516955379044,-0.3451571741926113,-0.3132382225581367,-0.32268781104310174
-0.34217756530526894,-0.34802748053732746,-0.3129009639425641,-0.32019247592646854
-0.30279395037939993,-0.3248754250882337,-0.33142677478142424,-0.35950628118496286
-0.35154763157115604,-0.3352897951269765,-0.352206677548369,-0.35829676317793085
-0.33095382648841165,-0.3198869803842839,-0.3344794593120001,-0.3463155105656249
-0.3255004676088054,-0.31507976514159775,-0.31854669240980354,-0.3217921584968409
-0.3079009833220666,-0.30444224865897607,-0.31048016404786555,-0.31224489392894306
-0.3118904592503406,-0.305185386016863,-0.2946157117312173,-0.3430733280399411
-0.3094137885916273,-0.3454814793210214,-0.33675481974984794,-0.34904348637849536
-0.34005412380571365,-0.30938346066741784,-0.3383151509571868,-0.32395543000867827
-0.3667749833392312,-0.36018960997881955,-0.3357364846097981,-0.3318125158675851
-0.3277864130172715,-0.30127442723512293,-0.32544580464860284,-0.3449334376780327
-0.3339150415384105,-0.33514431057242594,-0.3271477218785562,-0.31148287104358613
-0.36603297204944474,-0.3085524144584405,-0.32481186587037847,-0.35045595611353136
-0.3199002733062593,-0.3294372202128996,-0.31644049009479525,-0.33273925268706167
-0.2885782726206538,-0.3420380499937942,-0.3312135211141192,-0.32790205727672356
-0.32650377133504105,-0.30047036967829355,-0.3067769612264138,-0.35419802051202026
-0.31020781017326926,-0.34124099160968907,-0.33081640722311995,-0.3373668697842644
-0.33745013761754744,-0.3422470932680982,-0.35656401682775934,-0.32589967920527785
-0.3192154442201753,-0.3530275386162315,-0.31331182831823773,-0.3230399536430829
-0.31252960377808464,-0.34692860794605607,-0.33444201939849644,-0.3243320659912282
-0.3236829755831801,-0.32487191883451927,-0.3437139196755413,-0.34377350998685013
-0.3154960193006537,-0.33701390152041916,-0.31543238965606646,-0.29086775161331396
