,index,rank,waic,p_waic,d_waic,weight,se,dse,warning,waic_scale
0,ms7,0,-12186.633041568359,6794.965156770681,0.0,0.12154741902635598,3614.667307563049,0.0,True,log
1,ms6,1,-12263.729501340464,6867.212010164524,77.09645977210675,0.0,3579.0310031169633,226.02647281797618,True,log
2,ms3,2,-12355.808539364087,6941.465074625212,169.17549779572818,0.301839538169219,3569.974115863715,559.611579022672,True,log
3,ms2,3,-12398.164903173076,6999.172096481344,211.53186160472012,0.38326480707613364,3565.607717529428,655.5538454017396,True,log
4,ms4,4,-12522.226718286653,7117.938122936846,335.5936767182965,0.0,3717.8168635328543,404.37538952287355,True,log
5,ms5,5,-12883.567960028788,7491.956722386058,696.9349184604291,0.0,3799.725891976822,492.8764898357701,True,log
6,ms1,6,-13458.427690715922,7958.068194149724,1271.7946491475632,7.392820780885933e-15,4020.1770232036083,931.35297843732,True,log
7,ms0,7,-38639.26853577107,33122.60183269083,26452.635494202714,0.19334823572828397,12033.787715836414,12514.593668683103,True,log
