,index,rank,loo,p_loo,d_loo,weight,se,dse,warning,loo_scale
0,ms7,0,-7423.842293954017,2032.1744091563405,0.0,0.1273931051179091,930.3517404175999,0.0,True,log
1,ms3,1,-7480.46792571957,2066.124460980697,56.625631765554104,0.31507777332940695,955.005040224292,110.06284395733236,True,log
2,ms6,2,-7699.943197010642,2303.425705834701,276.10090305662567,6.641862046563061e-13,1004.3398416469015,193.77848783912268,True,log
3,ms5,3,-7732.970571804308,2341.3593341615797,309.12827785029145,3.9082617678386884e-13,1062.2344718110164,154.9413345667862,True,log
4,ms2,4,-7867.64157177391,2468.6487650821764,443.7992778198935,0.36890858909079666,1106.5150715089965,231.72045833948113,True,log
5,ms1,5,-7929.3362735370665,2428.9767769708687,505.49397958305065,0.0,1097.9902298836514,239.38187349881633,True,log
6,ms4,6,-8117.942453461612,2713.6538581118048,694.1001595075951,3.3043053316806063e-13,1175.6115387976904,679.4590673286373,True,log
7,ms0,7,-12755.211370010154,7238.5446669299145,5331.369076056138,0.18862053246050192,1978.9874406472566,2120.5086949889696,True,log
